"Свойства Местонахождения"
"Название местоположения = Сетунь"
"ID местоположения = 81376fd7-a6de-4a2f-8f59-d63af3d342e2"
""
"Свойства Отчета"
"Время начала = 2020-03-19 16:44:08"
"Длительность = 00:44:00"
"Показания = 45"
"Смещение по времени = 03:00:00"
""
"Свойства Инструмента"
"Модель устройства = Aqua TROLL 600"
"Серийный номер устройства = 622090"
"Прошивка устройства = 2.10"
""
"Свойства журнала"
"Имя лога = Журнал_2020-3-19"
"Тип лога = Линейный"
"Номер файла журнала = 3"
"ID журнала = ecc34016-8210-4f44-af4e-1225da362d8a"
"Интервал = 00:01:00"
""
""
"Дата и время","Мутность (NTU) (677875)","Общее количество взвешенных твердых частиц (mg/L) (677875)","Температура (°C) (622090)","Внешнее напряжение (V) (622090)","Емкость батареи (%) (622090)","Барометрическое давление (mm Hg) (622090)"
"2020-03-19 16:44:08","11.36112","0","17.48108","0","43","734.2556"
"2020-03-19 16:45:08","10.78486","0","17.50122","0","43","734.2556"
"2020-03-19 16:46:08","5.192478","0","17.37029","0","43","734.2556"
"2020-03-19 16:47:08","19.31542","0","17.00769","0","43","734.2556"
"2020-03-19 16:48:08","20.29404","0","16.01056","0","43","734.2556"
"2020-03-19 16:49:08","19.34814","0","15.07386","0","43","734.2556"
"2020-03-19 16:50:08","20.11521","0","14.20767","0","43","734.2556"
"2020-03-19 16:51:08","19.40335","0","13.44219","0","43","734.2556"
"2020-03-19 16:52:08","18.45665","0","12.77744","0","43","734.2556"
"2020-03-19 16:53:08","17.25419","0","12.15297","0","43","734.2556"
"2020-03-19 16:54:08","19.04011","0","11.62923","0","43","734.2556"
"2020-03-19 16:55:08","19.40147","0","11.14577","0","43","734.2556"
"2020-03-19 16:56:08","21.31876","0","10.71267","0","43","734.2556"
"2020-03-19 16:57:08","21.39168","0","10.35008","0","43","734.2556"
"2020-03-19 16:58:08","22.37565","0","9.997559","0","43","734.2556"
"2020-03-19 16:59:08","20.70251","0","9.705471","0","43","734.2556"
"2020-03-19 17:00:08","21.10032","0","9.433525","0","43","734.2556"
"2020-03-19 17:01:08","20.02779","0","9.201866","0","43","734.2556"
"2020-03-19 17:02:08","19.11619","0","8.980282","0","43","734.2556"
"2020-03-19 17:03:08","16.69176","0","8.809059","0.009","43","734.2556"
"2020-03-19 17:04:08","20.38993","0","8.657978","0","43","734.2556"
"2020-03-19 17:05:08","17.89795","0","8.486755","0","43","734.2556"
"2020-03-19 17:06:08","17.27452","0","8.375961","0","43","734.2556"
"2020-03-19 17:07:08","24.22217","0","8.265167","0","43","734.2556"
"2020-03-19 17:08:08","20.37923","0","8.164448","0","43","734.2556"
"2020-03-19 17:09:08","19.09341","0","8.063728","0","43","734.2556"
"2020-03-19 17:10:08","22.10835","0","7.993225","0","43","734.2556"
"2020-03-19 17:11:08","20.90043","0","7.912647","0","43","734.2556"
"2020-03-19 17:12:08","21.01762","0","7.852215","0","43","734.2556"
"2020-03-19 17:13:08","20.79188","0","7.801857","0","43","734.2556"
"2020-03-19 17:14:08","21.29424","0","7.761566","0","43","734.2556"
"2020-03-19 17:15:08","20.87152","0","7.711208","0","43","734.2556"
"2020-03-19 17:16:08","20.80211","0","7.660847","0","43","734.2556"
"2020-03-19 17:17:08","24.99219","0","7.63063","0","43","734.2556"
"2020-03-19 17:18:08","21.98287","0","7.590343","0","43","734.2556"
"2020-03-19 17:19:08","19.42371","0","7.570198","0","43","734.2556"
"2020-03-19 17:20:08","20.20643","0","7.550056","0","43","734.2556"
"2020-03-19 17:21:08","21.00895","0","7.51984","0","43","734.2556"
"2020-03-19 17:22:08","19.90806","0","7.51984","0","43","734.2556"
"2020-03-19 17:23:08","21.68398","0","7.489624","0","43","734.2556"
"2020-03-19 17:24:08","19.07818","0","7.459408","0","43","734.2556"
"2020-03-19 17:25:08","19.43379","0","7.449333","0","43","734.2556"
"2020-03-19 17:26:08","1.047821","0","7.419117","0","43","734.2556"
"2020-03-19 17:27:08","0.9694295","0","7.419117","0","43","734.2556"
"2020-03-19 17:28:08","1.652414","0","7.529911","0","43","734.2556"
""
"Примечания журнала"
"2020-03-19 16:44:08 Запущено"
